,x,y,z,thermal_conductivity
0,335100,4270497,1498.4260148107207,1.17
1,338800,4270277,1702.130785528096,2.34
2,341240,4268075,1869.0174171369845,2.3
3,338541,4268251,1676.7027428566184,0.92
4,337568,4268448,1601.0946342220461,1.88
5,336856,4268551,1584.7473560603469,2.09
6,337779,4267678,1634.420058451794,1.59
7,335862,4263887,1558.891872223329,0.92
8,334318,4266438,1526.682461773456,2.3
9,343974,4262037,2160.898534476974,2.3
10,339992,4261883,1898.0047587364327,2.09
11,339922,4261418,1835.6971656768515,2.3
12,339552,4261270,1863.3372778613384,2.09
13,340746,4261179,1962.3593098323022,2.3
14,337441,4262068,1748.9264595759498,0.92
15,336680,4262094,1702.6247026890617,1.25
16,334605,4262569,1506.1571136240805,2.09
17,335014,4262226,1530.278309554018,1.67
18,333008,4259616,1443.6804528074504,2.09
19,332835,4260130,1433.4073337468853,1.97
20,333982,4259462,1496.8837273114864,2.09
21,334168,4259991,1498.0571726856542,1.97
22,336947,4260612,-332.6029698384791,1.76
23,339895,4261829,1831.0483383239991,1.76
24,336210,4259572,1610.4096297186716,0.92
25,337469,4258370,1734.1813714259256,1.63
26,337534,4258990,1720.6702066084667,2.03
27,337296,4258440,1777.8119688454428,0.71
28,336461,4256447,1714.3941076102935,1.38
29,337051,4257135,1733.9933663670831,1.38
30,335691,4255497,1737.9500211750578,1.67
31,333649,4255606,1606.7313021528234,1.88
32,335534,4254246,1735.1268120776526,1.67
33,335456,4255968,1713.8718652491443,0.92
34,334455,4254468,1664.044338110153,1.88
35,334535,4253256,1672.8448579654707,2.3
36,339937,4253446,1952.8281927867895,2.3
